Ulasan,Rating,text_clean_preprocessed,label_sentiment
Brng sy pesan. Uang sy transfr tp brmg tdk sy trima. Jgn. Pesan pke wahana cargo. Tdk ad solusi dr toped ut mngembalikan uang saya,1,brng sy pesan uang sy transfr brmg sy trima jgn pesan pke wahana cargo ad solusi toped ut mngembalikan uang,0
"Tidak sesuai permintaan warnanya. Pas di tanya, ngaku2nya udh chat kita ga jawab. Pdhl ga ada chat ðð",1,sesuai minta warna pas ngaku2nya chat pdhl chat ,1
Suckkkk..............................................,1,suckkkk,0
"Produk bagus, tapi QC kurang. Pipa nya beda ukuran 1batang, jadi hanya 2 rak yg terpasang",2,produk bagus qc pipa nya beda ukur 1batang 2 rak pasang,1
Saya sangat kecewa karna ACC nya tidak lengkap,1,kecewa karna acc nya lengkap,2
"Kurang sesuai dengan expektasi, karena terdapat kecacatan pada konektor, memiliki panjang tiang yang tidak imbang",2,sesuai expektasi cacat konektor milik tiang imbang,2
Ada 1 bagian yg tidak ada,1,1,0
minta dibatalin udah ajuin pembatalan malah dikirim. udah dikonfirmasi ukuran model salah. !,2,dibatalin udah ajuin batal kirim udah konfirmasi ukur model salah,2
"Kotak rusak, lem sepatunya gk bngt",1,kotak rusak lem sepatu bngt,2
Tidak sesuai dengan yang di kasi liat,2,sesuai kasi liat,1
"Respon lambat pengiriman lama barang yang di kirim tidak sesuai , saya kecewa",2,respon lambat kirim barang kirim sesuai kecewa,2
"Masih bisa diklem gak nih kualitas barang sangat buruk, lemnya gak nempel pada ngelupas
Jujur saya sangat kecewa",1,klem nih kualitas barang buruk lem nempel ngelupas jujur kecewa,2
"Pengirimnya lama, prosesnya juga lamaaaa",1,kirim proses lamaaaa,0
Lebih teliti lg ya gan kalau ngasih informasi,1,teliti lg ya gan ngasih informasi,0
"Order tanggal 19 pake JNE yes,  
Baru sampe tanggal 25 entah salahnya dimana",1,order tanggal 19 pake jne yes sampe tanggal 25 salah mana,2
"Barang nya jelek bgt , saya mau kasih ke Org pun malu , mungkin ini foto lebih bagus dari produk asli nya
Saya tdk akan beli lagi",1,barang nya jelek banget kasih orang malu foto bagus produk asli nya beli,1
Gx sesuai dgn gambar. Gambar comot di google,2,gx sesuai gambar gambar comot google,1
"awalnya lupa tulisan ukuran, penjual juga ga nanya,, akhirnya  ukuran yg dikirim  ukuran  40,, minta retur ke 42 ,, penjual cuman bilang iya doang,, ga ada action,, udah sebulan ga diproses,, yang parahnya tokpedia malah melanjutkan dana ke penjual. padahal sudah mengikuti proses komplian sesuai petunjuk tokped. Benar&#39;&#39; tidak menghargai customer.",1,lupa tulis ukur jual nanya ukur kirim ukur 40 retur 42 jual cuman bilang iya doang action udah bulan proses parah tokpedia lanjut dana jual ikut proses komplian sesuai tunjuk tokped 39 39 harga customer,2
"Pesen  warna A yg d kirim warna B...nga ssuai klw dlam pesenan
 Abis gtu ukuranya kcillð¢",1,sen warna kirim warna b nga ssuai klw dlam sen abis gtu ukuranya kcill,0
"Respon sih cepat satu hari langsung,tapi pengiriman nya agak lama hampir 4 hari tapi baranh sesuai dengan harga.Seller kadang ga jawab pertanyaan.Tolong tingkatkan lagi.TAPI barang bagus lah sesuai harga meskipun ada yang terkelupas sedikit.âº",2,respon sih cepat langsung kirim nya 4 baranh sesuai hargaseller kadang pertanyaantolong tingkat lagitapi barang bagus sesuai harga kelupas sedikit,1
"Sangat mengecwakan, pesan 2 sepatu yg dikirim hanya 1 sepatu, di wa dan dintelfon tidak permah mau bls dangkat,
udah gitu kualitas sepatu jelek, dijamin bakal kecewa beli disini",1,mengecwakan pesan 2 sepatu kirim 1 sepatu wa dintelfon mah bls dangkat udah gitu kualitas sepatu jelek jamin kecewa beli,2
barang sudah diterima kualitas kurang memuaskan,1,barang terima kualitas muas,0
tidak puas.........................,1,puas,1
"produk, tidak sesuai dengan gambar.",2,produk sesuai gambar,1
terima kasih aja. proses lama,2,terima kasih proses,0
Pesan 3..patah 2 .. packing kurang aman,2,pesan 3 patah 2 packing aman,1
"Seller ok. Packing rapi pengiriman cepat. Ga ada masalah. Cuman produknya kurang sesuai ekspektasi, dindingnya kurang kokoh terlalu lentur, pemasangan kurang simple. Thanks btw",2,seller ok packing rapi kirim cepat cuman produk sesuai ekspektasi dinding kokoh lentur pasang simple thanks btw,1
trimstrimstrimstrimstrimstrimstrimstrimstrims,1,trimstrimstrimstrimstrimstrimstrimstrimstrims,0
"Mengecewakan, intinya aku sangat kecewa ð",1,kecewa inti kecewa ,2
"Ukurannya kekecilan, next buat yang lain, lebihin 1 ukuran dari sepatu yang biasa kalian pakai.",2,ukur kecil next lebihin 1 ukur sepatu pakai,2
biarkan bintang yang berbicara,1,biar bintang bicara,0
"saya, kecewa dengan sistem pengerjaan untuk di kirim ke jasa pengiriman nya. menyediakan jasa YES (yakin esok sampai) tapi disamakan dengan pengiriman reguler. bukan salah kurir ini salah seller yg tidak segera mungkin menindak yg harusnya di prioritaskan barang yg harusnya satu hari sampai , menjadi 2 hari. entah di sengaja apa tidak ini sistem yang buruk menurut saya. selamat 28rb jasa YES nya bisa anda claim karna mereka tidak berhasil kirim 1 hari paket nya, lumayan buat tambah2 omset itu.. jika memang di sengaja selamat anda berhasil,  membuat kekacauan yg cukup menyedihkan buat saya. tp jika tidak ya semoga kedepan lebih baik lagi. maaf ini pengalaman terburuk saya",1,kecewa sistem kerja kirim jasa kirim nya sedia jasa yes esok sama kirim reguler salah kurir salah seller tindak prioritas barang 2 sengaja sistem buruk selamat 28rb jasa yes nya claim karna hasil kirim 1 paket nya lumayan tambah2 omset sengaja selamat hasil kacau sedih ya moga depan maaf alam buruk,2
"Barang Standar,sesuai dngan harga nya",2,barang standar sesuai dngan harga nya,1
ternyata hanya sablon aj dilogo,2,sablon aj logo,0
bahan tipis sekali.....semoga kuat sj...,2,bahan tipis moga kuat sj,1
"Barang dikirim sangat cepat. Komunikasi yang baik. Barang tidak tahan lama, lebih baik pakai di dalam.",2,barang kirim cepat komunikasi barang tahan pakai,1
Terlalu lama mulai tanggal 14 baru sampainya tanggal 30 hampir setengah bulan,1,tanggal 14 sampai tanggal 30,0
"tidak puas, saya dirugikan, kualitas barang saya terima sangat buruk",1,puas rugi kualitas barang terima buruk,2
"ukuran yg dikirim tidak sesuai, malah ukuran yg diminta seperti ditulis ulang",1,ukur kirim sesuai ukur tulis ulang,1
model pesanan sesuai tapi kualitas barang yg ditampilkan dgn barang yg diterima jauh sekali (kasar sekali),1,model pesan sesuai kualitas barang tampil barang terima kasar,0
Kurang bagus karena gak kena klipnya jadi gak kencang,1,bagus kena klip kencang,1
Sepertinya salah kirim !! Saya pesan size pria di chat 34 c 13 c 22. Ga cukup buat sneaker!! . Saya mau dikembalikan ini gimanaaa. Ongkornya mahal lo iniiii!,2,salah kirim pesan size pria chat 34 c 13 c 22 sneaker kembali gimanaaa ongkornya mahal lo iniiii,2
"Tali sepatunya belang, saya tidak suka tidak sesuai pesanan nmr.42 dikirim nmr.40",2,tali sepatu belang suka sesuai pesan nmr42 kirim nmr40,1
"Barang si oke saya pesan navy size 42 yg dikirim hitam Size 41 , packing nya tidak rapih ,,,",1,barang si oke pesan navy size 42 kirim hitam size 41 packing nya rapih,1
"Barang sudah diterima ,hanya saja kecewa dengan pengirimannya yg lama",2,barang terima kecewa kirim,2
Ngak ada talinya warna juga kurang sesuai,2,ngak tali warna sesuai,1
Lem nya kurang rapih enteng banget,2,lem nya rapih enteng banget,0
"ð¥ð¥ not good quality, not even close.",2, good quality even close,1
"speaker tidak jelas, jadi belum bisa dipakai",2,speaker pakai,0
"Paketannya sdh sampai, kecewa ! Pantesan aja murah bkn samsung asli",2,paket sdh kecewa pantesan murah bkn samsung asli,1
"Beli 2 biji, 2-2 patah di tmpt yg sama di bagian pertemuan per dgn suction.",1,beli 2 biji 22 patah tmpt temu suction,0
"barang sesuai deskripsi tetapi tidak bs menempel pd interior mobil yg bergelombang, kualitas plastik jg meragukan...",2,barang sesuai deskripsi bs tempel interior mobil gelombang kualitas plastik ragu,1
Saya pikir bahannya bagus.. tp ya sudahlah.. wong harganya juga ga mahal... klu kawan2 punya selera yg lebih sy sarankan utk berfikir kembali mengambil produk ini krn memang pas2an...maklum ada harga ada kualitas...,2,pikir bahan bagus ya harga mahal klu kawan2 selera sy saran utk berfikir ambil produk krn pas2an maklum harga kualitas,1
"kualitas barang rendah tp ya sesuai harganya, juga Barang datang dengan kondisi kaca pecah.",1,kualitas barang rendah ya sesuai harga barang kondisi kaca pecah,2
Ball head nya tidak bisa mengunci sama sekali.,2,ball head nya kunci,0
Tidak memuaskan komplain lama respon.,1,muas komplain respon,0
Cek dlu bos. Gerigi penahan nya kok lepas trus..  Yg ada malah hp nya jatoh,1,cek dlu bos gerigi tahan nya lepas trus hp nya jatoh,0
Barang kasar banget tidak sesuqi dengan foto,1,barang kasar banget sesuqi foto,2
"Kagak pas di motor ninja 250 fi.. 
Sama kagak pas di polygon stratos..",2,pas motor ninja 250 fi pas polygon stratos,0
"Kirim barang nya sdh rusak...
Dikomplain malah ga terima maki&amp;#34; menghina pembeli",1,kirim barang nya sdh rusak komplain terima maki amp 34 hina beli,2
Buat dewasa bukan anak kegedean,2,dewasa anak gede,1
Barang rusak dikirim,2,barang rusak kirim,2
warna tdak sma dgn gambar....trima kasih,1,warna tdak sma gambar trima kasih,0
"Pengaitnya gak kuat, gampang goyang jd gampang jatuh. Jd saya kasih lem korea buat perekatnya lg biar ga mudah jatuh",2,kait kuat gampang goyang gampang jatuh kasih lem korea rekat lg biar mudah jatuh,1
Penjual tidak responsif. Item dalam box tidak lengkap. Tidak bisa di gunakan. Not recommended seller.,1,jual responsif item box lengkap recommended seller,1
Pengirimannya terlalu lama.... No rekomen deh,1,kirim rekomen deh,0
tidak sesuai gambar..,2,sesuai gambar,1
hp rusak ga bs dipake sama sekali.,1,hp rusak bs dipake,2
Bintang yang menilai semua............,1,bintang nilai,1
Batteray hp tidak original batteray cepat habis atau cepat lowbet,1,batteray hp original batteray cepat habis cepat lowbet,1
"Agak kecewa sama barang yg diorder, ditanya warna merah katanya ready tapi yg dikirim warna hitam",2,kecewa barang order warna merah ready kirim warna hitam,2
"Baterai baru sehari udh bau gosong ,,untung ga meledak ,,",1,baterai hari bau gosong untung ledak,2
"Produk buruk. Tidak bisa dipake, buang tempat sampah. Casing terbuka sim tidak bisa terbaca. Mending beli produk 2nd dari produk ini...",1,produk buruk dipake buang sampah casing buka sim baca mending beli produk 2nd produk,2
cashing gak nempel batre drop.. apesss,2,cashing nempel batre drop apesss,2
Tombol atas nya ga berfungsi,1,tombol nya fungsi,0
"Barang kawe kawe ya. Barang kurang berfungsi, ga bisa baca memori, gak bisa bluethoot. Tadinya sy pikir asli. Ternyata bukan.",2,barang kawe kawe ya barang fungsi baca memori bluethoot sy pikir asli,1
Kualitasnya tidak sesuai dg merk nya,1,kualitas sesuai dg merk nya,1
"Barang yg saya terima bukan original nokia, kecewa.",2,barang terima original nokia kecewa,2
"Barang rusak semua, hp china bener2 payah,  sesuai harga kualitas jelek,  maklum lah,  harga beda 2x lipat dgn yg asli.",1,barang rusak hp china bener2 payah sesuai harga kualitas jelek maklum harga beda 2x lipat asli,2
Batt nya cepet abis...Bukan seperti Nokia Yg terdahulu...ð­,2,batt nya cepet abis nokia ,0
Barang udah sampe kmaren,2,barang udah sampe kmaren,0
"Beli 2  1 nya gak bisa digunain, alias rusak...",1,beli 2 1 nya digunain alias rusak,2
"Tulisan &#34;SUPERCOPY&#34; atau REPLIKA sebaiknya ditulis lebih jelas lagi, ditambahkan di nama produk, kecuali jika memang mengincar juga pembeli yg kurang cermat seperti saya :p",2,tulis 34 supercopy 34 replika tulis nama produk kecuali incar beli cermat p,0
Suara nya jelek bgd..nerima maupun telp..baterainya jg..gak d pake sehari habis..keypad nya jg susah,1,suara nya jelek bgd nerima telp baterai pake hari habis keypad nya susah,2
Casannya gak bs ngisi  batre nya cpt habis,2,cas bs ngisi batre nya cpt habis,0
"Sangat kecewa,.......
..........",1,kecewa,2
brng tdk sesui.pesan warna biru dkirm warna merah,2,brng sesuipesan warna biru dkirm warna merah,0
"Barang sesuai deskripsi. Dari sisi fungsional, kualitas barang kurang baik mungkin krn ini harganya murah. Lampu keypad hanya menyala sebagian, batre longgar sehingga harus diganjal (sy pakai kertas) agar dapat berfungsi, batre hanya tahan 1 hari (pagi - malam), kualitas suara kurang baik.
Klo layanan dari toko cukup baik.",2,barang sesuai deskripsi sisi fungsional kualitas barang krn harga murah lampu keypad nyala batre longgar ganjal sy pakai kertas fungsi batre tahan 1 pagi malam kualitas suara klo layan toko,1
Pengiriman cepat hanya hpx tdk bisa putar musik n tobol2x kurang bgs,1,kirim cepat hpx putar musik n tobol2x bgs,1
hp mati tidak bisa digunakan,1,hp mati,2
Barang ga bisa berfungsi dg baik.,1,barang fungsi dg,0
"Produk mengecewakan, kualitas barang jelek",1,produk kecewa kualitas barang jelek,2
Batre hp cepat habis alias boros,2,batre hp cepat habis alias boros,0
"Beli 3 produk, 2 biji baterai nya bocor, 1 biji kaga bisa di charge, mao kirim balik , ongkir dll susah",1,beli 3 produk 2 biji baterai nya bocor 1 biji kaga charge mao kirim ongkir dll susah,2
"Baterai ngedropan tiap 6jam abis padahal cuman stand by,pketan isinya cuman HP&amp;CAS gk ada dusbook....",1,baterai ngedropan 6jam abis cuman stand pketan isi cuman hp amp cas dusbook,0
"Barang yg dikirim warna tidak sesuai dengan pemesanan, sangat tidak berkualitas",1,barang kirim warna sesuai mesan kualitas,1
Batere nya cpt habis..ð­,2,batere nya cpt habis ,0
Beli 5 unit hp disini ga ada yg satupun yg bgus.. penjual bohong..  minta solusi.,1,beli 5 unit hp satu bgus jual bohong solusi,0
"Hp yg datang klo telfon ga ada suaranya,kecewa sekali",1,hp klo telfon suara kecewa,2
Produknya kw mudah rusak,1,produk kw mudah rusak,2
Pengiriman nya lama sekali,2,kirim nya,0
Barang banyak cacatnya dikomplain lambat nunggu abis garansinya pokoknya ga usah dibeli,1,barang cacat komplain lambat nunggu abis garansi pokok beli,2
"Barang sampah bukan nokia ini, kalo jualan yg bener km... hpnya suka suka mati2 sendiri...",1,barang sampah nokia kalo jual bener km hpnya suka suka mati2,1
"Di deskripsi nya di tambahin &#34;barang replika&#34; biar gak kecewa pembeli nya.
Tombol pada jemblos.
Kecewa saya",1,deskripsi nya tambahin 34 barang replika 34 biar kecewa beli nya tombol jemblos kecewa,2
Cuma bertahan 3hari charger nya,2,tahan 3hari charger nya,0
paket dibungkus dng rapih.. bgs..smoga unit nya sebagus dng packaging nya.,2,paket bungkus dng rapih bgs smoga unit nya bagus dng packaging nya,1
"Baru 3 hari mati, mau retur gak direspon..
Bukan nokia.",1,3 mati retur direspon nokia,2
Tidak ada sinyal nya udah nyoba pake kartu apa pun.,2,sinyal nya udah nyoba pake kartu,0
"Pesen nya warna biru tapi di kirim warna hitam,untung cuma hp murah",1,sen nya warna biru kirim warna hitam untung hp murah,1
Karuan beli produk china aja...barange parah enteng kya krupuk suara speaker parah.layar kya mainan bocah,1,karuan beli produk china barange parah enteng kya krupuk suara speaker parahlayar kya main bocah,2
"Tidak sesuai dengan apa yg di terangkan
Mirip kayak hp china",1,sesuai terang kayak hp china,1
Terima kasih banyak ooo tapi barang gak ori,1,terima kasih ooo barang ori,0
"kacanya retak,  kaya hp second",1,kaca retak kaya hp second,1
"Hp tidak bisa mengeluarkan suara dering, baterai drop.. jelekkk skali.. charger meledak",1,hp keluar suara dering baterai drop jelekkk skali charger ledak,2
"Gak bisa utk nelpon, cuma bisa cek pulsa doang.. Mau minta tukar",2,utk nelpon cek pulsa doang tukar,2
Hp mati saat penggunaan pertama... gak mau nyala lagi,2,hp mati guna nyala,2
Gan knp setelah d pasang kartu hp gg nyala malah kedap kedip mulu,1,gan knp pasang kartu hp gg nyala kedap kedip mulu,1
"Jual barang KW, di keterangan ga di kasih keterangan barang KW.. Tau gitu ga jadi transfer deh.. Not recomended ð",1,jual barang kw terang kasih terang barang kw tau gitu transfer deh recomended ,2
"Bluetooth ga bisa ketemu sama hp lain, ga bisa nemuin bluetooth hp lain. Menu musik ga bisa baca lagu yg ada di memori walau udh di refresh.",1,bluetooth ketemu hp nemuin bluetooth hp menu musik baca lagu memori refresh,0
"Batre belum d pakai sudah abis alias dropp belom di pake, padahal abis di carger. Belum sejam udah abis",2,batre pakai abis alias dropp bom pake abis carger jam udah abis,2
Lumayan bagus walaupun masih agak telat pngiriman,2,lumayan bagus telat pngiriman,1
"Batre gak awet, barang ringkih",2,batre awet barang ringkih,0
"pesan warna merah ,,, dikirim warna biru , sangat mengecewakan !!!",1,pesan warna merah kirim warna biru kecewa,2
"Hp ringkih gmpg rusak , antara hp Nokia atau replika",1,hp ringkih gmpg rusak hp nokia replika,2
Koj batre nya boros banget yak.  Ama sinyal gak muncul.,1,koj batre nya boros banget yak ama sinyal muncul,2
"Untuk mendengarkan radio. (earphone), tidak berfungsi. Sudah coba pakai handsfree 3 pcs, satu pun  tidak ada yg terdengar.  Saya mohon. Kedepan nya lebih teliti sebelum mengirim barangnya. Trims",2,dengar radio earphone fungsi coba pakai handsfree 3 pcs dengar mohon depan nya teliti kirim barang trims,1
"Apa hanya saya saja ya yang merasa kalau hape ini terasa sangat ringkih,padahal setahu saya hape nokia iti build qualitynya sangat bagus,,,,,agak kecewa sih,tp semoga barangnya awet",2,ya hape ringkih tahu hape nokia iti build qualitynya bagus kecewa sih moga barang awet,1
"ringan kaya hp ringan
spiker telpon rusakkkk",2,ringan kaya hp ringan spiker telpon rusakkkk,1
"Batere drop, susah di charge krn mgkn bermasalah",2,batere drop susah charge krn mgkn masalah,2
Hp nya gampang mati sendiri &amp; saya tanya ternyata rekondisi. Cuma ganti kesing. Barangnya bukan ORI Nokia charger maupun baterainyað semoga sukses jualannyað,1,hp nya gampang mati amp rekondisi ganti sing barang ori nokia charger baterai moga sukses jual,1
"baterai cepat habis, lampu keypad tidak nyala semua...",1,baterai cepat habis lampu keypad nyala,1
Kelamaan pengiriman barang,1,kirim barang,0
"Beda sama nokia 130 yg beli di counter hp, kwalitas beda jauh",1,beda nokia 130 beli counter hp kwalitas beda,0
Hati2 chargeran tidak berfungsi sama sekali,1,hati2 chargeran fungsi,0
Pengiriman sangat lama untuk daerah jakarta,2,kirim daerah jakarta,0
Kecewa berat. Lebih layak jadi HP mainan,1,kecewa berat layak hp main,2
"Hpnya ngerestart teruss,, Nokia cap apa ini?? Tdk sesuai dgn yg di harapkan",1,hpnya ngerestart teruss nokia cap sesuai harap,1
"barang nyampe di packing rapih.
tpi kualitas sangat kurang, saat telpn kecil suaranya kecil, padahal volume udah maksimal, di pasang headset juga suka mati jika di sentuh. produk masih blm bisa di recommend",1,barang nyampe packing rapih tpi kualitas telpn suara volume udah maksimal pasang headset suka mati sentuh produk blm recommend,1
Bos knp jaringannya ga conect ketika sudah masuk sim card?? Gmn solusinya?,2,bos knp jaring conect masuk sim card gmn solusi,0
"pengiriman lama pake banget,, pas dateng hp kyk kegores di layar,, speaker pecah, suara tlp kecil pdhal sdh maksimal di settingannya, colokan headset g bisa kepake.. g rekomended",1,kirim pake banget pas dateng hp kyk gores layar speaker pecah suara tlp pdhal sdh maksimal settingannya colok headset kepake rekomended,2
Tidak sesuai warna diskripsi yang disepakati,1,sesuai warna skripsi pakat,1
Produk sangat buruk...tidak bisa buat telpon...dinyalakan 10 menit lgsg mati lagi,1,produk buruk telpon nyala 10 menit lgsg mati,2
maaf barang untuk slot simcard 1 tdk bisa konek/terhubung jaringan...baterai sudah dicas cepat habis...kalau mau diretur bs ga ya..makasih,1,maaf barang slot simcard 1 konekterhubung jaring baterai cas cepat habis retur bs ya makasih,1
"hape bekas atau hape kw ya?..... :(.    semoga usahanya berkah , amin",2,hape bekas hape kw ya moga usaha berkah amin,2
ga sama dengan gambar,1,gambar,0
Gan Ko gabilang Klo ini KW.... dikirain harganya murah karena keluar model baru.,1,gan ko gabilang klo kw dikirain harga murah model,2
warna yg d pesan tdk sesuai,2,warna pesan sesuai,1
"Produk blm memuaskan, tapi tetap bekerja dgn baik",1,produk blm muas,0
Hp tiruan ð¤£ð¤£ yang sama cuma bentuk sama merek aja isi nya zoonk,1,hp tiru  bentuk merek isi nya zoonk,0
Speaker tlponnya rusak loh gan .makasih,2,speaker tlponnya rusak loh gan makasih,2
Hp tidak berfungsi sama sekali,1,hp fungsi,0
"Beli 2pc, 1 ok, 1 lagi= suara masuk ada, suara keluar ngak ada. Tidak di cek brg nya sebelum kirim",1,beli 2pc 1 ok 1 suara masuk suara ngak cek barang nya kirim,1
Produk baru seminggu udh mati. Gimana sih,1,produk minggu mati gimana sih,2
Hp rusakk pedagang diam,1,hp rusakk dagang diam,2
"Tidak bisa nyala,hpnya gk mau nyala",1,nyala hpnya nyala,0
"Produk untuk HP nya baik  bisa nyala, Hanya saja chargernya tidak bisa (RUSAK) karena pake charger yang lain bisa. Kemungkinan produk bermasalah, dan saya kecewa.",2,produk hp nya nyala chargernya rusak pake charger produk masalah kecewa,2
"Respon cepat,tapi sayang casing bagian belakang ada yg pecah",1,respon cepat sayang casing pecah,1
"Baterainya boros,cukup pertama  terakhir.makasih gan
Sukses selalu.",2,baterai boros terakhirmakasih gan sukses,0
pengiriman lambat .sabtu pagi transaksi selasa malem barunampai lemot,2,kirim lambat sabtu pagi transaksi selasa malem barunampai lot,2
Barang jelek... Casing ga ori.. speker pecah. Ini barang asli samsung apa casingnya saja yg samsung,1,barang jelek casing ori speker pecah barang asli samsung casingnya samsung,2
Kwalitas menengecewakan langsung rusak,1,kwalitas menengecewakan langsung rusak,2
Kecewa dengan hp nya.. Ternyata suara nada dering nya aneh.. Tidak layaknya hp samsung.,1,kecewa hp nya suara nada dering nya aneh layak hp samsung,2
Cacan cacan taik tffffgfffggggggggggggggg,1,cacan cacan taik tffffgfffggggggggggggggg,0
Hp cpet rusaakkk  yg jual toko tidak bertanggung jawab sangat kecewa sekali ... Hati hati dgn toko ini tidak ada tanggung jawabnya....,1,hp cpet rusaakkk jual toko tanggung kecewa hati hati toko tanggung,2
"kurang respon kalau ada kendala barang nya
kedepan coba pelayanan nya lebih mantap lagi",1,respon kendala barang nya depan coba layan nya mantap,0
"barang rekondisi, tidak dicantumkan pada deskripsi",2,barang rekondisi cantum deskripsi,0
"Sangat mengecewakan, hp nya seperti kw n bkn baru, tdk ada kitabnya.",1,kecewa hp nya kw n bkn kitab,2
Barang kurang lengkap tidak ada handsfreenya,2,barang lengkap handsfreenya,0
Pengiriman lamaaa... Fitur barang tidak sesuai dengan yang asli..,2,kirim lamaaa fitur barang sesuai asli,1
"Saya beli hp ini penjualnya langsung kirim ke tempat bude saya di Sumatra. Menurut beliau, baru sehari dipakai, sudah tidak bisa dicharge. Pas dicek ke tempat servis, dibilang kalo Samsung palsu...  Mengecewakan. Mana beli 2 pcs pula.",1,beli hp jual langsung kirim bude sumatra beliau hari pakai dicharge pas cek servis bilang kalo samsung palsu kecewa beli 2 pcs,2
"Respond cepat tp sampainya lama,barang bagus tp ada retaknya, sangat di sayangkan.",2,respond cepat sampai barang bagus retak sayang,1
"Speaker ga berfungsi.. kalo tlp atau di tlp ga kedengeran suara... di tlp juga kadang nada sibuk pdhl hape sedang tidak di gunakan, 

Tlp ke hape lain juga nyambung bs kadang ga. Pdhl pulsa banyak. 

Over all kecewa banyak ðð­",2,speaker fungsi kalo tlp tlp kedengeran suara tlp kadang nada sibuk pdhl hape tlp hape nyambung bs kadang ga pdhl pulsa kecewa ,2
